#2
A    ,115.723,102.268,128.195,143.568,152.694
D    ,10     ,10     ,10     ,10     ,10
E    ,55     ,51.5   ,65.3   ,72     ,77.3
F    ,50     ,40     ,60     ,70     ,68.3
G    ,51     ,49     ,60.9   ,66     ,68.3
H    ,13     ,13     ,13     ,13     ,13
Beta ,64.875 ,70.526 ,66.217 ,64.742 ,63.995
Gamma,75.125 ,69.474 ,73.783 ,75.258 ,76.005
Delta,15     ,15     ,15     ,16     ,15
R1   ,40     ,40     ,40     ,40     ,40
R2   ,10     ,10     ,10     ,10     ,10
R3   ,5      ,5      ,5      ,5      ,5
